@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute accLH {0,1,2,3,4,5}
@attribute buttonsLH {0,1,2,3}
@attribute accRH {0,1,2,3,4,5}
@attribute buttonsRH {0,1,2,3}

@data
2085,'2018/04/23 22:32:04:457',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2086,'2018/04/23 22:32:04:553',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2087,'2018/04/23 22:32:04:648',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2088,'2018/04/23 22:32:04:747',109,507,507,253,0,0,507,507,253,0,0,?,?,1,?
2089,'2018/04/23 22:32:04:841',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2090,'2018/04/23 22:32:04:935',109,507,511,253,0,0,507,495,245,0,0,?,?,1,?
2091,'2018/04/23 22:32:04:937',109,507,511,253,0,0,507,495,245,0,0,?,?,1,?
2092,'2018/04/23 22:32:05:033',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2093,'2018/04/23 22:32:05:132',109,507,507,257,0,0,507,507,257,0,0,?,?,1,?
2094,'2018/04/23 22:32:05:224',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2095,'2018/04/23 22:32:05:323',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2096,'2018/04/23 22:32:05:416',109,507,511,253,0,0,507,495,249,0,0,?,?,1,?
2097,'2018/04/23 22:32:05:420',109,507,511,253,0,0,507,495,249,0,0,?,?,1,?
2098,'2018/04/23 22:32:05:516',109,507,511,249,0,0,507,511,249,0,0,?,?,1,?
2099,'2018/04/23 22:32:05:608',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2100,'2018/04/23 22:32:05:705',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2101,'2018/04/23 22:32:05:802',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2102,'2018/04/23 22:32:05:896',109,507,511,253,0,0,503,495,245,0,0,?,?,1,?
2103,'2018/04/23 22:32:05:901',109,507,511,253,0,0,503,495,245,0,0,?,?,1,?
2104,'2018/04/23 22:32:05:995',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2105,'2018/04/23 22:32:06:089',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2106,'2018/04/23 22:32:06:185',109,507,511,249,0,0,507,511,249,0,0,?,?,1,?
2107,'2018/04/23 22:32:06:283',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2108,'2018/04/23 22:32:06:379',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2109,'2018/04/23 22:32:06:472',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2110,'2018/04/23 22:32:06:569',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2111,'2018/04/23 22:32:06:666',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2112,'2018/04/23 22:32:06:762',109,503,507,253,0,0,503,507,253,0,0,?,?,1,?
2113,'2018/04/23 22:32:06:855',109,503,507,253,0,0,507,495,249,0,0,?,?,1,?
2114,'2018/04/23 22:32:06:857',109,503,507,253,0,0,507,495,249,0,0,?,?,1,?
2115,'2018/04/23 22:32:06:953',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2116,'2018/04/23 22:32:07:050',109,507,507,253,0,0,507,507,253,0,0,?,?,1,?
2117,'2018/04/23 22:32:07:149',109,503,511,253,0,0,503,511,253,0,0,?,?,1,?
2118,'2018/04/23 22:32:07:240',109,507,511,253,0,0,507,511,253,0,0,?,?,1,?
2119,'2018/04/23 22:34:01:864',110,511,507,253,0,0,519,331,312,0,0,?,?,2,?
2120,'2018/04/23 22:34:01:866',110,511,507,253,0,0,519,331,312,0,0,?,?,2,?
2121,'2018/04/23 22:34:01:959',110,511,507,253,0,0,526,331,312,0,0,?,?,2,?
2122,'2018/04/23 22:34:01:961',110,511,507,253,0,0,526,331,312,0,0,?,?,2,?
2123,'2018/04/23 22:34:02:055',110,511,507,253,0,0,534,319,335,0,0,?,?,2,?
2124,'2018/04/23 22:34:02:057',110,511,507,253,0,0,534,319,335,0,0,?,?,2,?
2125,'2018/04/23 22:34:02:151',110,511,507,253,0,0,522,316,323,0,0,?,?,2,?
2126,'2018/04/23 22:34:02:153',110,511,507,253,0,0,522,316,323,0,0,?,?,2,?
2127,'2018/04/23 22:34:02:247',110,511,507,253,0,0,530,316,312,0,0,?,?,2,?
